year,Beijing,Chongqing,Shenzhen,Guiyang,Kunming,Shanghai,Wuhai,Changsh
2002,4764.00,1556.00,5802.00,1643.00,2276.00,4134.00,1928.00,1802.00
2003,4737.00,1596.00,6256.00,1949.00,2233.00,5118.00,2072.00,2040.00
2004,5020.93,1766.24,6756.24,1801.68,2473.78,5855.00,2516.32,2039.09
2005,6788.09,2134.99,7582.27,2168.90,2639.72,6842.00,3061.77,2313.73
2006,8279.51,2269.21,9385.34,2372.66,2903.32,7196.00,3689.64,2644.15
2007,11553.26,2722.58,14049.69,2901.63,3108.12,8361.00,4664.03,3304.74
2008,12418.00,2785.00,12665.00,3149.00,3750.00,8195.00,4781.00,3288.00
2009,13799.00,3442.00,14615.00,3762.00,3807.00,12840.00,5329.00,3648.00
2010,17782.00,4281.00,19170.00,4410.00,3660.00,14464.00,5746.00,4418.00
2011,16851.95,4733.84,21350.13,5069.52,4715.23,14603.24,7192.90,5862.39
2012,17021.63,5079.93,19589.82,4846.14,5744.68,14061.37,7344.05,6100.87
2013,18553.00,5569.00,24402.00,5025.00,5795.00,16420.00,7717.00,6292.00
2014,18833.00,5519.00,24723.00,5608.00,6384.00,16787.00,7951.00,6116.0
